Latitude,Longitude,Flood depth (m)
26.136,91.695,0.018650768
26.161,91.747,0.018757395
26.183,91.756,0.018805264
26.119,91.742,0.018884466
26.121,91.74,0.018884466
26.127,91.818,0.018885624
26.121,91.8,0.018903708
26.132,91.824,0.018942447
26.131,91.824,0.01894264
26.126,91.752,0.018981316
26.175,91.756,0.019113377
26.178,91.79,0.019121871
26.188,91.777,0.019135658
26.177,91.806,0.019161848
26.176,91.74,0.019169916
26.132,91.825,0.01918537
26.156,91.791,0.019259666
26.148,91.802,0.019266604
26.174,91.793,0.019309645
26.174,91.794,0.019309645
26.132,91.826,0.019360008
26.133,91.826,0.019360008
26.18,91.775,0.019379923
26.11,91.749,0.019417899
26.144,91.697,0.019429908
26.144,91.696,0.019430687
26.173,91.794,0.01945793
26.157,91.791,0.019719371
26.157,91.79,0.019744307
26.176,91.809,0.019814994
26.168,91.751,0.01982895
26.176,91.81,0.01984622
26.148,91.803,0.019891832
26.158,91.79,0.019994018
26.164,91.746,0.020039508
26.17,91.755,0.020060756
26.126,91.768,0.020063944
26.126,91.761,0.020081782
26.143,91.697,0.020189972
26.143,91.698,0.020189972
26.144,91.698,0.020189972
26.152,91.752,0.020216107
26.181,91.753,0.020348485
26.119,91.743,0.020351071
26.177,91.809,0.020444024
26.178,91.806,0.020482101
26.171,91.734,0.020525923
26.116,91.811,0.020572104
26.105,91.767,0.020711937
26.105,91.766,0.020711937
26.105,91.765,0.020711937
26.105,91.764,0.020711937
26.104,91.764,0.020711937
26.103,91.764,0.020711937
26.18,91.753,0.020719566
26.185,91.774,0.020889242
26.18,91.776,0.021088903
26.159,91.749,0.021103106
26.186,91.79,0.021177058
26.136,91.772,0.021321278
26.182,91.746,0.021385078
26.182,91.745,0.021385078
26.183,91.74,0.021393795
26.183,91.741,0.02139667
26.174,91.792,0.021408415
26.144,91.749,0.021421859
26.173,91.795,0.02142699
26.116,91.739,0.021445467
26.191,91.779,0.021483397
26.171,91.794,0.021625059
26.172,91.795,0.02165453
26.171,91.795,0.02165453
26.135,91.772,0.021712942
26.153,91.75,0.021753743
26.14,91.767,0.021848233
26.178,91.807,0.021959047
26.176,91.811,0.02201571
26.191,91.778,0.022035959
26.135,91.767,0.022129667
26.174,91.758,0.022182593
26.163,91.746,0.022194662
26.174,91.767,0.022225022
26.129,91.749,0.022227852
26.174,91.791,0.022235966
26.181,91.776,0.022362189
26.179,91.754,0.022510083
26.145,91.768,0.022533379
26.159,91.75,0.022536654
26.171,91.757,0.022566495
26.176,91.739,0.022598295
26.171,91.755,0.022691355
26.188,91.775,0.022814159
26.141,91.77,0.022896812
26.149,91.803,0.022932124
26.173,91.763,0.023005981
26.177,91.81,0.023107743
26.17,91.754,0.02310848
26.127,91.751,0.023206451
26.185,91.775,0.023248286
26.178,91.808,0.023264246
26.176,91.812,0.023272607
26.185,91.797,0.023315949
26.177,91.812,0.023376551
26.184,91.797,0.023382063
26.177,91.811,0.023472388
26.176,91.738,0.023570032
26.126,91.762,0.023598332
26.165,91.78,0.023669357
26.187,91.799,0.023780103
26.171,91.756,0.023826811
26.172,91.756,0.024014463
26.172,91.792,0.024062896
26.149,91.804,0.024070139
26.188,91.791,0.024135547
26.114,91.802,0.024178364
26.109,91.719,0.024283481
26.172,91.752,0.02429898
26.184,91.798,0.024377081
26.175,91.769,0.024420099
26.166,91.756,0.024430504
26.185,91.798,0.024448013
26.144,91.778,0.024538457
26.174,91.757,0.024661407
26.141,91.768,0.024665811
26.17,91.763,0.024723613
26.178,91.809,0.024739451
26.144,91.744,0.024747763
26.134,91.767,0.024772768
26.16,91.752,0.024784951
26.115,91.801,0.024998636
26.172,91.753,0.025037537
26.175,91.754,0.025074244
26.125,91.769,0.02508595
26.19,91.785,0.02513936
26.19,91.778,0.025166848
26.147,91.742,0.025168366
26.189,91.778,0.025240619
26.166,91.769,0.025277939
26.178,91.811,0.025295596
26.178,91.81,0.02531909
26.125,91.74,0.02534009
26.189,91.785,0.025400066
26.151,91.804,0.025451026
26.175,91.755,0.025493877
26.145,91.748,0.025528853
26.187,91.789,0.025575545
26.144,91.741,0.025606523
26.186,91.798,0.025609913
26.114,91.804,0.025613391
26.185,91.777,0.025625758
26.127,91.748,0.025660474
26.128,91.747,0.025671797
26.179,91.759,0.025686309
26.174,91.768,0.025686836
26.17,91.758,0.025851502
26.171,91.753,0.025928643
26.185,91.776,0.02595665
26.187,91.79,0.025996897
26.133,91.753,0.026060047
26.144,91.779,0.026119528
26.145,91.749,0.026155331
26.121,91.768,0.026170826
26.12,91.768,0.026170826
26.128,91.751,0.02617455
26.115,91.803,0.02619437
26.186,91.799,0.026222274
26.165,91.729,0.026237969
26.184,91.799,0.026268175
26.123,91.768,0.026271884
26.184,91.8,0.026278942
26.129,91.758,0.026299062
26.186,91.775,0.02630702
26.182,91.756,0.026326318
26.186,91.8,0.026327293
26.179,91.758,0.026413097
26.144,91.751,0.026415393
26.132,91.737,0.026470737
26.165,91.728,0.026475141
